df_test.url_id,predicted,
885,1020,1000
894,2520,2500
897,884,864
899,930,910
903,1420,1400
907,929,909
909,2120,2100
913,2120,2100
915,2620,2600
925,1220,1200
928,1220,1200
930,1020,1000
931,8220,8200
934,1820,1800
940,819,799
941,465,445
942,857,837
943,998,978
947,949,929
948,1220,1200
956,760,740
961,538,518
965,1920,1900
966,906,886
969,3920,3900
970,39220,39200
976,1820,1800
977,575,555
979,467,447
983,1920,1900
984,922,902
985,1120,1100
988,9520,9500
989,1320,1300
995,4020,4000
996,805,785
1000,3820,3800
1008,3420,3400
1015,420,400
1018,2220,2200
1019,3320,3300
1035,2520,2500
1044,626,606
1049,783,763
1054,3220,3200
1056,1420,1400
1058,4820,4800
1061,3420,3400
1064,4320,4300
1065,1520,1500
1067,634,614
1071,3120,3100
1073,948,928
1074,4120,4100
1078,2120,2100
1086,1220,1200
1090,495,475
1095,1220,1200
1096,3220,3200
1101,555,535
1102,1320,1300
1106,1320,1300
1110,8020,8000
1113,1120,1100
1114,1620,1600
1115,1320,1300
1116,10820,10800
1120,2920,2900
1123,4920,4900
1136,2420,2400
1138,5920,5900
1142,2420,2400
1143,3020,3000
1145,8220,8200
1146,2220,2200
1149,1520,1500
1152,5920,5900
1154,1320,1300
1155,6120,6100
1156,1420,1400
1166,1220,1200
1170,1620,1600
1174,2520,2500
1177,1820,1800
1179,8120,8100
1183,585,565
1184,2420,2400
1186,1120,1100
1187,1220,1200
1190,3020,3000
1192,6720,6700
1200,1720,1700
1207,7120,7100
1208,314,294
1209,369,349
1211,527,507
1212,562,542
1219,927,907
1225,579,559
1232,973,953
1245,1220,1200
1246,4320,4300
1252,1020,1000
1253,1620,1600
1255,530,510
1257,2720,2700
1260,3120,3100
1265,1420,1400
1266,2120,2100
1269,3020,3000
1275,552,532
1278,1320,1300
1284,812,792
1285,487,467
1286,1920,1900
1289,706,686
1290,3020,3000
1293,737,717
1296,799,779
1298,1520,1500
1304,1620,1600
1310,1520,1500
1320,6320,6300
1328,2220,2200
1340,679,659
1342,2120,2100
1347,2420,2400
1353,1220,1200
1361,727,707
1362,1220,1200
1365,1220,1200
1374,932,912
1376,1020,1000
1386,2420,2400
1388,778,758
1392,69120,69100
1398,531,511
1401,1520,1500
1404,1820,1800
1405,2420,2400
1406,4520,4500
1413,16820,16800
1423,406,386
1427,460,440
1429,877,857
1435,1120,1100
1437,360,340
1439,927,907
1444,2120,2100
1447,1920,1900
1448,2720,2700
1458,713,693
1460,3120,3100
1465,2320,2300
1466,1620,1600
1472,939,919
1475,1020,1000
1476,873,853
1480,1020,1000
1483,696,676
1484,1011,991
1498,1420,1400
1504,7020,7000
1506,703,683
1507,1320,1300
1509,40120,40100
1510,3920,3900
1511,1220,1200
1517,3420,3400
1519,1120,1100
1521,1620,1600
1522,855,835
1524,920,900
1526,696,676
1532,1820,1800
1544,3220,3200
1550,1620,1600
1557,1120,1100
1559,7420,7400
1560,1320,1300
1561,717,697
1562,1320,1300
1565,1120,1100
1566,1120,1100
1569,701,681
1573,675,655
1578,9720,9700
1579,806,786
1581,8920,8900
1590,2520,2500
1591,518,498
1595,840,820
1596,1320,1300
1599,1120,1100
1600,1820,1800
1602,1620,1600
1604,1012,992
1606,1220,1200
1607,643,623
1608,780,760
1610,730,710
1612,1320,1300
1619,1120,1100
1626,3920,3900
1627,1320,1300
1628,7420,7400
1638,621,601
1645,4520,4500
1650,5820,5800
1653,2120,2100
1655,2120,2100
1663,1120,1100
1664,1620,1600
1665,3820,3800
1668,1420,1400
1675,584,564
1676,1520,1500
1678,514,494
1680,2420,2400
1684,1620,1600
1685,1420,1400
1687,8720,8700
1691,6020,6000
1695,3320,3300
1699,2820,2800
1700,4220,4200
1701,2320,2300
1705,502,482
1706,877,857
1708,4620,4600
1710,591,571
1719,1320,1300
1720,1720,1700
1725,1320,1300
1733,1520,1500
1737,1820,1800
1742,1820,1800
1748,1020,1000
1750,1320,1300
1755,8320,8300
1756,1520,1500
1759,1020,1000
1761,1220,1200
1765,1220,1200
1767,2820,2800
1769,2620,2600
1771,18120,18100
1778,3420,3400
1780,1320,1300
1781,1920,1900
1787,3220,3200
1790,8520,8500
1793,368,348
1795,6520,6500
1798,786,766
1799,817,797
1802,3920,3900
1807,1420,1400
1811,1420,1400
1815,1320,1300
1821,2920,2900
1822,1120,1100
1823,13920,13900
1825,1620,1600
1829,1020,1000
1839,2020,2000
1841,4420,4400
1842,3420,3400
1850,655,635
1851,1320,1300
1853,1720,1700
1860,386,366
1868,2320,2300
1869,323,303
1874,1220,1200
1875,847,827
1883,30420,30400
1884,2220,2200
1887,3920,3900
1897,6620,6600
1898,2120,2100
1902,1620,1600
1904,1620,1600
1905,674,654
1906,1320,1300
1908,1820,1800
1912,2020,2000
1915,450,430
1916,4520,4500
1917,4620,4600
1923,1120,1100
1928,6620,6600
1929,810,790
1930,1120,1100
1931,1520,1500
1941,2620,2600
1947,2620,2600
1953,1420,1400
1959,1420,1400
1963,7320,7300
1965,1820,1800
1967,4520,4500
1969,1220,1200
1970,5220,5200
1971,1320,1300
1979,1220,1200
1981,2620,2600
1983,1420,1400
1984,1920,1900
1985,1020,1000
1988,6120,6100
1991,2920,2900
1992,1520,1500
1999,922,902
2006,4220,4200
2007,2920,2900
2010,402,382
2013,2220,2200
2022,2120,2100
2023,9320,9300
2024,1820,1800
2027,1520,1500
2028,1020,1000
2032,1320,1300
2037,27420,27400
2038,2120,2100
2045,1320,1300
2049,757,737
2053,1020,1000
2055,5820,5800
2059,1220,1200
2061,831,811
2064,811,791
2065,1120,1100
2070,2120,2100
2073,1020,1000
2074,1012,992
2086,1120,1100
2087,439,419
2092,2720,2700
2096,525,505
2100,1820,1800
2107,16620,16600
2113,716,696
2115,646,626
2116,1820,1800
2117,616,596
2119,422,402
2120,1720,1700
2124,446,426
2125,1120,1100
2128,1720,1700
2135,1720,1700
2136,761,741
2137,646,626
2143,66920,66900
2144,4320,4300
2145,3820,3800
2150,1620,1600
2154,632,612
2155,9220,9200
2156,4420,4400
2160,1020,1000
2161,1720,1700
2164,67520,67500
2166,546,526
2167,15620,15600
2174,1220,1200
2175,1720,1700
2176,7420,7400
2178,1420,1400
2179,2920,2900
2183,1220,1200
2184,878,858
2189,3020,3000
2192,10320,10300
2197,1020,1000
2200,756,736
2206,2220,2200
2208,822,802
2212,1820,1800
2218,1009,989
2219,622,602
2226,762,742
2229,1420,1400
2234,1220,1200
2237,2120,2100
2242,1520,1500
2243,6520,6500
2247,433,413
2250,7620,7600
2255,3220,3200
2260,1420,1400
2261,1420,1400
2271,794,774
2273,1020,1000
2280,395,375
2282,992,972
2285,989,969
2287,16820,16800
2288,1220,1200
2295,458,438
2303,8620,8600
2307,4020,4000
2308,530,510
2317,1020,1000
2322,19220,19200
2325,4920,4900
2327,1820,1800
2330,4820,4800
2333,1220,1200
2338,4820,4800
2343,654,634
2348,1120,1100
2358,4320,4300
2362,5520,5500
2364,1520,1500
2365,1220,1200
2370,1720,1700
2372,1620,1600
2377,2220,2200
2380,3220,3200
2382,2420,2400
2383,1320,1300
2387,4620,4600
2391,6420,6400
2392,2420,2400
2397,5820,5800
2398,953,933
2399,4020,4000
2404,3020,3000
2405,2720,2700
2407,2120,2100
2408,937,917
2415,6420,6400
2419,982,962
2420,1020,1000
2423,3020,3000
2424,1820,1800
2430,1720,1700
2431,907,887
2443,23720,23700
2444,5720,5700
2445,5820,5800
2449,1620,1600
2452,42720,42700
2461,919,899
2463,1820,1800
2472,1320,1300
2473,588,568
2475,795,775
2481,2520,2500
2491,1320,1300
2494,1320,1300
2496,1820,1800
2497,1320,1300
2498,1420,1400
2499,1920,1900
2504,700,680
2516,1220,1200
2519,1120,1100
2521,1920,1900
2523,10120,10100
2525,12520,12500
2530,1620,1600
2531,2520,2500
2533,2220,2200
2543,1520,1500
2547,598,578
2548,1420,1400
2552,2020,2000
2553,2520,2500
2558,5120,5100
2561,2420,2400
2565,659,639
2576,1420,1400
2577,611,591
2578,3620,3600
2579,1017,997
2583,1420,1400
2587,1320,1300
2589,16220,16200
2603,4720,4700
2606,1720,1700
2607,526,506
2612,3020,3000
2619,1720,1700
2620,2320,2300
2621,575,555
2623,3720,3700
2624,2220,2200
2628,1220,1200
2632,18020,18000
2635,14420,14400
2644,871,851
2649,1620,1600
2650,936,916
2654,1009,989
2657,860,840
2659,80420,80400
2662,2220,2200
2664,768,748
2669,2920,2900
2670,1120,1100
2671,1220,1200
2672,531,511
2674,2020,2000
2675,3020,3000
2679,1920,1900
2681,1220,1200
2683,502,482
2686,632,612
2687,1220,1200
2692,3420,3400
2694,622,602
2695,3220,3200
2697,552,532
2699,739,719
2703,2320,2300
2712,4620,4600
2713,845,825
2714,10620,10600
2717,2220,2200
2728,4720,4700
2733,4920,4900
2741,7220,7200
2743,3120,3100
2749,700,680
2758,3220,3200
2764,1020,1000
2769,1220,1200
2770,3520,3500
2772,1002,982
2773,1820,1800
2776,475,455
2778,2420,2400
2783,3320,3300
2786,5120,5100
2787,2020,2000
2791,1020,1000
2794,1620,1600
2796,1120,1100
2797,2420,2400
2798,1720,1700
2805,2220,2200
2810,2820,2800
2817,449,429
2820,9120,9100
2823,1420,1400
2824,1320,1300
2826,874,854
2827,1120,1100
2835,13920,13900
2836,731,711
2838,832,812
2845,6520,6500
2849,430,410
2853,1220,1200
2855,2020,2000
2856,1720,1700
2864,1620,1600
2871,1520,1500
2873,2020,2000
2878,436,416
2882,1420,1400
2883,773,753
2884,586,566
2895,751,731
2896,774,754
2898,8420,8400
2899,3320,3300
2903,2820,2800
2907,1120,1100
2916,4120,4100
2918,471,451
2920,3220,3200
2923,2120,2100
2926,31320,31300
2931,2020,2000
2933,694,674
2940,13620,13600
2942,756,736
2951,1420,1400
2955,1920,1900
2957,2620,2600
2961,1720,1700
2968,1820,1800
2969,1320,1300
2972,724,704
2975,1320,1300
2979,968,948
2981,2220,2200
2985,2020,2000
2986,932,912
2992,1620,1600
2995,1220,1200
2997,2720,2700
3000,957,937
3006,2420,2400
3007,4020,4000
3008,727,707
3009,1020,1000
3011,674,654
3016,2120,2100
3023,1120,1100
3026,1420,1400
3029,1720,1700
3032,6120,6100
3040,632,612
3042,967,947
3043,2420,2400
3047,746,726
3049,3220,3200
3052,650,630
3056,1420,1400
3057,695,675
3058,1120,1100
3062,1220,1200
3063,1420,1400
3064,718,698
3066,935,915
3071,4720,4700
3073,3220,3200
3075,1520,1500
3080,1120,1100
3086,739,719
3087,561,541
3094,1620,1600
3096,5020,5000
3098,2120,2100
3103,3520,3500
3105,542,522
3116,813,793
3118,8220,8200
3120,2820,2800
3124,4320,4300
3126,696,676
3127,2220,2200
3131,3120,3100
3132,35120,35100
3136,13320,13300
3137,2320,2300
3138,10720,10700
3141,2820,2800
3149,1320,1300
3151,2420,2400
3153,14520,14500
3157,2520,2500
3158,1320,1300
3161,1620,1600
3165,4120,4100
3169,4220,4200
3178,1320,1300
3180,2720,2700
3181,2120,2100
3194,986,966
3195,476,456
3199,3220,3200
3200,2320,2300
3201,640,620
3203,2720,2700
3207,1120,1100
3208,2420,2400
3215,1420,1400
3216,2820,2800
3217,27320,27300
3224,922,902
3230,404,384
3232,1920,1900
3237,1820,1800
3239,982,962
3241,1220,1200
3244,1020,1000
3251,1520,1500
3254,2520,2500
3260,1420,1400
3268,502,482
3271,2120,2100
3276,1820,1800
3281,3420,3400
3284,1020,1000
3291,2820,2800
3292,761,741
3296,810,790
3297,2320,2300
3300,1820,1800
3301,1014,994
3305,1920,1900
3310,2020,2000
3313,8520,8500
3314,900,880
3316,1120,1100
3318,11120,11100
3323,10120,10100
3326,893,873
3331,2220,2200
3334,5720,5700
3338,6920,6900
3340,1120,1100
3344,5820,5800
3345,2920,2900
3351,1520,1500
3363,1220,1200
3372,3120,3100
3376,1620,1600
3377,2920,2900
3379,2220,2200
3381,1920,1900
3382,1220,1200
3383,1020,1000
3391,1720,1700
3392,4020,4000
3395,2420,2400
3404,6420,6400
3407,1420,1400
3408,3120,3100
3415,9420,9400
3421,1320,1300
3423,1420,1400
3426,2520,2500
3432,1920,1900
3437,3220,3200
3441,2120,2100
3443,1420,1400
3444,2420,2400
3446,9620,9600
3450,2620,2600
3454,1007,987
3455,3020,3000
3456,5320,5300
3457,1320,1300
3459,1920,1900
3461,2020,2000
3462,3120,3100
3465,2320,2300
3466,2220,2200
3472,1017,997
3474,4420,4400
3478,3420,3400
3483,1620,1600
3484,1420,1400
3486,1120,1100
3487,3420,3400
3490,1820,1800
3491,922,902
3492,3720,3700
3497,996,976
3501,1120,1100
3503,1420,1400
3504,2920,2900
3507,2520,2500
3511,1120,1100
3513,6520,6500
3521,2020,2000
3530,1620,1600
3531,7420,7400
3533,4320,4300
3534,1320,1300
3547,2120,2100
3549,1420,1400
3555,2720,2700
3556,2120,2100
3557,1220,1200
3559,1620,1600
3566,914,894
3573,2020,2000
3574,5020,5000
3577,3320,3300
3578,9320,9300
3579,1620,1600
3585,3120,3100
3589,2320,2300
3593,1920,1900
3602,1620,1600
3612,1320,1300
3613,2120,2100
3616,2320,2300
3620,1220,1200
3621,3420,3400
3626,8720,8700
3629,9420,9400
3636,1020,1000
3639,1120,1100
3643,740,720
3646,827,807
3648,5020,5000
3649,10620,10600
3651,2520,2500
3653,2420,2400
3655,1420,1400
3658,820,800
3659,2920,2900
3664,2920,2900
3671,949,929
3676,4120,4100
3678,1003,983
3679,2420,2400
3681,959,939
3683,849,829
3699,6020,6000
3700,1220,1200
3701,1320,1300
3705,2220,2200
3709,3520,3500
3712,964,944
3715,6320,6300
3717,4420,4400
3723,2920,2900
3724,2220,2200
3730,1220,1200
3739,4120,4100
3743,2020,2000
3745,1320,1300
3747,812,792
3749,1920,1900
3755,3120,3100
3756,1420,1400
3759,740,720
3761,23620,23600
3765,1620,1600
3770,1020,1000
3778,11520,11500
3785,976,956
3788,853,833
3789,6920,6900
3791,856,836
3797,1920,1900
3801,1620,1600
3802,8020,8000
3805,915,895
3806,5220,5200
3811,1620,1600
3813,1620,1600
3818,1020,1000
3822,2820,2800
3826,7120,7100
3828,1820,1800
3832,2820,2800
3833,1220,1200
3844,931,911
3846,1720,1700
3847,7320,7300
3851,3720,3700
3855,2220,2200
3858,2420,2400
3860,2720,2700
3862,4220,4200
3863,961,941
3873,863,843
3877,921,901
3879,1520,1500
3882,1005,985
3884,1120,1100
3889,1420,1400
3890,2620,2600
3891,2020,2000
3893,6320,6300
3896,1010,990
3897,2520,2500
3900,1520,1500
3903,1320,1300
3907,1520,1500
3914,2020,2000
3917,3520,3500
3930,1820,1800
3932,7620,7600
3933,2120,2100
3934,1820,1800
3935,4520,4500
3937,1320,1300
3942,4220,4200
3944,3320,3300
3946,5020,5000
3949,22320,22300
3955,963,943
3961,7720,7700
3964,1120,1100
3965,1820,1800
3968,3420,3400
3971,909,889
3974,942,922
3975,7320,7300
3980,5720,5700
3986,794,774
3988,670,650
3989,1720,1700
3993,1220,1200
3994,1320,1300
3995,1420,1400
3997,912,892
3998,1420,1400
4002,1220,1200
4003,4220,4200
4009,2220,2200
4011,7920,7900
4030,2120,2100
4036,1120,1100
4037,2320,2300
4039,1920,1900
4050,5220,5200
4061,4520,4500
4063,1120,1100
4064,1020,1000
4070,1120,1100
4071,1720,1700
4075,1520,1500
4088,3820,3800
4089,3020,3000
4093,18320,18300
4099,2020,2000
4103,1420,1400
4122,1920,1900
4126,1120,1100
4129,3520,3500
4137,985,965
4138,11020,11000
4140,2120,2100
4143,687,667
4147,3620,3600
4150,6220,6200
4159,2320,2300
4163,4720,4700
4171,1220,1200
4172,974,954
4179,594,574
4180,1220,1200
4181,1220,1200
4183,1520,1500
4185,2920,2900
4188,1520,1500
4189,1620,1600
4197,1220,1200
4200,1120,1100
4203,2320,2300
4207,2320,2300
4208,1420,1400
4210,2020,2000
4214,1420,1400
4220,1220,1200
4224,12120,12100
4225,3220,3200
4228,6220,6200
4229,1320,1300
4238,4520,4500
4245,1220,1200
4247,1420,1400
4254,1011,991
4255,1920,1900
4260,1520,1500
4265,2720,2700
4267,3720,3700
4268,2420,2400
4271,2220,2200
4273,6920,6900
4275,3420,3400
4280,2220,2200
4281,1020,1000
4289,3620,3600
4294,2020,2000
4296,4720,4700
4305,5520,5500
4306,2820,2800
4318,16320,16300
4323,1004,984
4330,1220,1200
4335,858,838
4339,2020,2000
4340,1520,1500
4344,1120,1100
4348,2720,2700
4349,8520,8500
4352,665,645
4354,1420,1400
4356,2620,2600
4363,1820,1800
4364,1520,1500
4366,1220,1200
4368,1520,1500
4370,7120,7100
4373,2820,2800
4374,2120,2100
4378,1420,1400
4384,1520,1500
4387,1120,1100
4399,736,716
4401,1820,1800
4402,1220,1200
4411,1720,1700
4416,2920,2900
4417,1020,1000
4423,3120,3100
4424,2520,2500
4426,950,930
4432,3020,3000
4435,3320,3300
4441,1120,1100
4447,4920,4900
4448,6320,6300
4452,14420,14400
4453,1420,1400
4454,1820,1800
4457,4120,4100
4460,832,812
4463,2620,2600
4465,890,870
4475,3420,3400
4481,998,978
4484,1120,1100
4486,865,845
4487,4520,4500
4489,1220,1200
4490,2420,2400
4499,938,918
4500,1420,1400
4503,26620,26600
4504,15920,15900
4506,1620,1600
4510,1220,1200
4514,5020,5000
4519,3820,3800
4529,4220,4200
4530,2220,2200
4532,2320,2300
4533,919,899
4534,1120,1100
4537,2020,2000
4538,1220,1200
4540,1820,1800
4541,3820,3800
4547,1420,1400
4549,3120,3100
4550,1120,1100
4558,2020,2000
4560,1920,1900
4565,1220,1200
4569,2420,2400
4570,6020,6000
4574,1420,1400
4575,3320,3300
4576,3220,3200
4577,1520,1500
4578,9320,9300
4582,1720,1700
4583,1420,1400
4588,6420,6400
4591,1420,1400
4593,955,935
4601,2920,2900
4602,3120,3100
4603,2020,2000
4605,4520,4500
4609,998,978
4615,2220,2200
4619,1220,1200
4627,1720,1700
4628,3020,3000
4630,10920,10900
4633,1220,1200
4637,5420,5400
4639,1120,1100
4640,2620,2600
4641,1520,1500
4647,1620,1600
4654,1220,1200
4657,1320,1300
4659,4820,4800
4668,2120,2100
4670,825,805
4683,1320,1300
4686,1620,1600
4693,15220,15200
4695,971,951
4696,1120,1100
4699,2120,2100
4706,6920,6900
4709,1120,1100
4710,24,4
4717,2020,2000
4720,1220,1200
4721,781,761
4735,6220,6200
4739,1120,1100
4742,1220,1200
4744,878,858
4749,1220,1200
4750,788,768
4751,990,970
4753,1120,1100
4766,12320,12300
4777,2620,2600
4778,1120,1100
4780,3220,3200
4782,2920,2900
4786,1620,1600
4788,2320,2300
4795,2420,2400
4801,1220,1200
4804,1320,1300
4815,1320,1300
4818,4820,4800
4822,852,832
4824,3420,3400
4834,1820,1800
4836,1320,1300
4839,5920,5900
4846,2120,2100
4851,1620,1600
4857,1018,998
4858,1120,1100
4859,1320,1300
4863,1920,1900
4866,2120,2100
4871,817,797
4872,1320,1300
4873,2620,2600
4882,1001,981
4884,1620,1600
4887,2920,2900
4891,2220,2200
4893,6020,6000
4895,860,840
4898,9920,9900
4901,4220,4200
4914,1220,1200
4915,5020,5000
4917,4020,4000
4923,2320,2300
4924,1620,1600
4925,14820,14800
4927,2620,2600
4929,1320,1300
4932,1220,1200
4933,1420,1400
4934,1320,1300
4935,24920,24900
4938,1920,1900
4955,2420,2400
4959,2120,2100
4960,1420,1400
4961,3420,3400
4963,1620,1600
4965,6320,6300
4973,4320,4300
4981,1120,1100
4982,1720,1700
4987,17520,17500
4991,2620,2600
4995,1520,1500
5001,2320,2300
5004,1420,1400
5006,1420,1400
5007,1320,1300
5008,3220,3200
5009,5420,5400
5013,1120,1100
5017,1920,1900
5028,872,852
5030,818,798
5033,1720,1700
5035,1620,1600
5038,2020,2000
5040,12420,12400
5041,7920,7900
5042,9720,9700
5053,1520,1500
5054,1320,1300
5055,3420,3400
5056,1220,1200
5062,1820,1800
5065,1120,1100
5066,3020,3000
5071,9020,9000
5072,3720,3700
5073,2420,2400
5077,5720,5700
5080,3720,3700
5081,3420,3400
5085,1720,1700
5086,7820,7800
5089,1320,1300
5091,1820,1800
5094,1420,1400
5097,2420,2400
5098,1120,1100
5104,32620,32600
5105,944,924
5118,4820,4800
5120,2120,2100
5122,686,666
5124,1720,1700
5126,3320,3300
5128,1220,1200
5133,1020,1000
5135,3920,3900
5136,911,891
5137,1220,1200
5140,859,839
5143,1320,1300
5145,1920,1900
5147,3420,3400
5148,2720,2700
5149,1620,1600
5151,7520,7500
5159,981,961
5160,1220,1200
5167,5920,5900
5169,1920,1900
5171,1520,1500
5173,1420,1400
5176,7720,7700
5178,1520,1500
5179,3720,3700
5184,1220,1200
5185,2220,2200
5189,1620,1600
5190,3020,3000
5201,966,946
5204,1420,1400
5209,4920,4900
5212,1420,1400
5214,3920,3900
5215,2520,2500
5223,2020,2000
5225,1420,1400
5231,1120,1100
5234,1220,1200
5242,1120,1100
5247,3820,3800
5249,869,849
5261,1220,1200
5266,24820,24800
5269,993,973
5270,1220,1200
5276,2620,2600
5280,1920,1900
5283,2220,2200
5287,1420,1400
5290,1620,1600
5291,2020,2000
5295,989,969
5296,2520,2500
5297,973,953
5301,2920,2900
5302,1920,1900
5306,1820,1800
5313,11620,11600
5315,1520,1500
5318,5620,5600
5320,1520,1500
5323,18020,18000
5327,3520,3500
5328,2120,2100
5329,2220,2200
5330,2620,2600
5335,7920,7900
5336,4720,4700
5358,1320,1300
5359,1520,1500
5360,7220,7200
5363,2320,2300
5364,9720,9700
5369,1420,1400
5370,729,709
5372,703,683
5378,1420,1400
5380,3020,3000
5384,1520,1500
5385,892,872
5388,1420,1400
5389,2920,2900
5392,1520,1500
5406,1520,1500
5407,3020,3000
5412,3220,3200
5417,2620,2600
5424,1520,1500
5431,520,500
5432,915,895
5437,3220,3200
5439,1920,1900
5445,5120,5100
5452,562,542
5454,848,828
5455,887,867
5464,920,900
5473,911,891
5479,1720,1700
5483,2920,2900
5485,2220,2200
5487,683,663
5488,7720,7700
5494,964,944
5495,2020,2000
5497,1320,1300
5498,970,950
5499,1920,1900
5500,3220,3200
5504,1620,1600
5506,6720,6700
5509,9720,9700
5511,965,945
5513,984,964
5514,1720,1700
5517,1320,1300
5521,1720,1700
5525,1220,1200
5526,3020,3000
5529,6320,6300
5532,1020,1000
5534,1920,1900
5539,1220,1200
5547,5720,5700
5554,804,784
5561,990,970
5562,1320,1300
5567,3120,3100
5568,6620,6600
5570,843,823
5572,3720,3700
5574,1420,1400
5576,1720,1700
5582,6320,6300
5595,5120,5100
5597,1420,1400
5601,2820,2800
5603,5420,5400
5606,1420,1400
5609,1420,1400
5610,1320,1300
5611,1420,1400
5618,1620,1600
5620,2220,2200
5625,1120,1100
5628,2320,2300
5629,2820,2800
5630,730,710
5641,1220,1200
5643,1320,1300
5646,2520,2500
5647,1620,1600
5651,3320,3300
5659,1920,1900
5661,2920,2900
5663,2820,2800
5670,2220,2200
5672,2520,2500
5673,1420,1400
5691,5120,5100
5694,2320,2300
5697,1120,1100
5698,17120,17100
5701,2620,2600
5708,1220,1200
5711,952,932
5722,1620,1600
5725,1720,1700
5727,2520,2500
5733,1620,1600
5735,957,937
5745,3220,3200
5746,1420,1400
5749,1720,1700
5752,3520,3500
5753,11020,11000
5754,1420,1400
5758,938,918
5760,1920,1900
5764,1520,1500
5784,1220,1200
5794,1320,1300
5797,1320,1300
5803,1320,1300
5804,1020,1000
5809,1720,1700
5811,902,882
5812,1120,1100
5820,979,959
5821,1220,1200
5822,2520,2500
5826,1120,1100
5827,2620,2600
5836,1420,1400
5838,2220,2200
5843,17620,17600
5845,907,887
5846,2520,2500
5849,2220,2200
5854,1220,1200
5855,1320,1300
5859,1920,1900
5863,1020,1000
5865,2020,2000
5866,518,498
5872,850,830
5876,1720,1700
5884,1220,1200
5887,2120,2100
5889,4120,4100
5895,999,979
5897,7720,7700
5902,1120,1100
5908,452,432
5911,815,795
5915,2220,2200
5921,1120,1100
5923,1820,1800
5924,1420,1400
5926,1620,1600
5929,946,926
5931,3020,3000
5932,8820,8800
5933,3720,3700
5941,1720,1700
5945,2520,2500
5948,1720,1700
5949,1320,1300
5952,1220,1200
